event_id,index,farm_id,cow_id,ref_event_datetime,breed,birth_date,tv_serial,ax_serial,ax_days_before_calving,ax_id_assignment,season,country,cattle_mode,rank,event_type
FR3537142643_2016-04-07,352,FR-35156009,FR3537142643,2016-04-07 09:02:53,66,2013-11-05T00:00:00,0016I,009YX,54,99,printemps,FR,laitier,genisse,tv_expulsion
FR0803297718_2016-02-26,266,FR-08367138,FR0803297718,2016-02-26 09:39:49,66,2012-08-31T00:00:00,01FW8,01B29,307,146,hiver,FR,laitier,vache,tv_expulsion
FR5381322231_2016-02-12,635,FR-53175021,FR5381322231,2016-02-12 19:35:38,66,2014-01-29T00:00:00,0017O,00BHT,8,743,hiver,FR,laitier,genisse,tv_expulsion
FR3531116696_2016-01-12,354,FR-35172116,FR3531116696,2016-01-12 19:27:47,66,2012-04-05T00:00:00,0016C,009YN,14,83,hiver,FR,laitier,vache,tv_expulsion
FR3531116636_2016-01-07,353,FR-35172116,FR3531116636,2016-01-07 18:05:54,66,2011-12-25T00:00:00,0016D,009Y2,9,13,hiver,FR,laitier,vache,tv_expulsion
FR0802026719_2016-01-02,251,FR-08082003,FR0802026719,2016-01-02 00:02:13,66,2013-09-29T00:00:00,012NS,01IZZ,11,565,hiver,FR,laitier,genisse,tv_expulsion
FR0802026251_2015-12-20,227,FR-08082003,FR0802026251,2015-12-20 18:18:03,66,2006-08-10T00:00:00,012NR,01IZQ,13,532,hiver,FR,laitier,vache,tv_expulsion
FR0802026592_2015-12-19,237,FR-08082003,FR0802026592,2015-12-19 17:50:00,66,2011-12-05T00:00:00,012UV,015VU,12,534,hiver,FR,laitier,vache,tv_expulsion
FR0802026698_2015-12-01,249,FR-08082003,FR0802026698,2015-12-01 13:50:00,66,2013-06-18T00:00:00,012NR,014DI,12,496,hiver,FR,laitier,genisse,tv_expulsion
FR0200971133_2015-11-13,184,FR-02440033,FR0200971133,2015-11-13 15:12:43,66,2009-08-21T00:00:00,01AFJ,01JWL,38,299,automne,FR,laitier,vache,tv_expulsion
FR0802026691_2015-11-11,248,FR-08082003,FR0802026691,2015-11-11 01:25:00,66,2013-05-05T00:00:00,012NV,0175P,14,502,automne,FR,laitier,genisse,tv_expulsion
FR0802026498_2015-11-10,233,FR-08082003,FR0802026498,2015-11-10 03:48:00,66,2010-12-01T00:00:00,012NR,0175U,13,493,automne,FR,laitier,vache,tv_expulsion
FR0802026601_2015-11-03,238,FR-08082003,FR0802026601,2015-11-03 15:12:00,66,2011-12-19T00:00:00,012NU,015VO,19,482,automne,FR,laitier,vache,tv_expulsion
FR5943266651_2015-10-29,219,FR-02440033,FR5943266651,2015-10-29 11:18:10,66,2010-11-22T00:00:00,01AFF,01JVX,280,7,automne,FR,laitier,vache,tv_expulsion
FR0802026327_2015-10-27,228,FR-08082003,FR0802026327,2015-10-27 18:13:00,66,2009-01-24T00:00:00,012NT,015VP,21,308,automne,FR,laitier,vache,tv_expulsion
FR0802026493_2015-10-25,232,FR-08082003,FR0802026493,2015-10-25 09:40:00,66,2010-10-12T00:00:00,012NR,01IZR,19,429,automne,FR,laitier,vache,tv_expulsion
FR0200971299_2015-10-24,193,FR-02440033,FR0200971299,2015-10-24 14:20:01,66,2015-01-21T00:00:00,01AFP,01JWJ,18,320,automne,FR,laitier,genisse,tv_expulsion
FR0802026690_2015-10-22,247,FR-08082003,FR0802026690,2015-10-22 10:42:33,66,2013-05-02T00:00:00,012NU,017SU,16,277,automne,FR,laitier,genisse,tv_expulsion
FR0802026625_2015-10-18,239,FR-08082003,FR0802026625,2015-10-18 22:25:00,66,2012-10-18T00:00:00,012NS,014DG,12,269,automne,FR,laitier,vache,tv_expulsion
FR0802026677_2015-10-03,244,FR-08082003,FR0802026677,2015-10-03 13:10:00,66,2013-03-14T00:00:00,012NR,015VT,12,428,automne,FR,laitier,genisse,tv_expulsion
FR0200971372_2015-09-28,202,FR-02440033,FR0200971372,2015-09-28 08:04:58,39,2013-09-09T00:00:00,01AFP,01JWO,12,304,automne,FR,laitier,genisse,tv_expulsion
FR0802016913_2015-09-27,217,FR-02440033,FR0802016913,2015-09-27 10:59:57,66,2012-07-07T00:00:00,01D42,01JWH,10,306,automne,FR,laitier,vache,tv_expulsion
FR0200971378_2015-09-25,203,FR-02440033,FR0200971378,2015-09-25 14:54:40,66,2013-09-17T00:00:00,01AFO,01JXA,8,305,automne,FR,laitier,genisse,tv_expulsion
FR0802026509_2015-09-23,234,FR-08082003,FR0802026509,2015-09-23 12:21:00,66,2010-07-10T00:00:00,012NU,015VO,17,305,automne,FR,laitier,vache,tv_expulsion
FR0200971247_2015-09-14,190,FR-02440033,FR0200971247,2015-09-14 05:48:02,66,2010-08-27T00:00:00,01AFH,01JW6,20,220,automne,FR,laitier,vache,tv_expulsion
FR0200971226_2015-09-11,189,FR-02440033,FR0200971226,2015-09-11 00:44:00,66,2010-11-12T00:00:00,01AFL,01JVW,12,223,automne,FR,laitier,vache,tv_expulsion
FR0200971269_2015-09-10,192,FR-02440033,FR0200971269,2015-09-10 18:29:00,66,2013-10-12T00:00:00,01AFM,01JX0,22,165,automne,FR,laitier,genisse,tv_expulsion
FR0200971187_2015-09-09,187,FR-02440033,FR0200971187,2015-09-09 05:54:00,66,2010-08-29T00:00:00,01AFK,01JW4,10,227,automne,FR,laitier,vache,tv_expulsion
FR0200971193_2015-09-01,188,FR-02440033,FR0200971193,2015-09-01 13:34:46,66,2010-09-15T00:00:00,01AFP,01JWB,13,158,automne,FR,laitier,vache,tv_expulsion
FR0200971353_2015-08-29,197,FR-02440033,FR0200971353,2015-08-29 06:11:09,66,2013-07-22T00:00:00,01D42,01JX8,15,162,ete,FR,laitier,genisse,tv_expulsion
FR0200971363_2015-08-25,200,FR-02440033,FR0200971363,2015-08-25 04:57:20,66,2013-08-19T00:00:00,01AFL,01JWA,11,145,ete,FR,laitier,genisse,tv_expulsion
